Timestamp,User_ID,Sparse_Live_Bottom,Dense_Live_Bottom,Flat_Sand,Rippled_Sand
2026-01-27 10:59:07,105907,0,0,0,0
2026-01-27 11:02:07,110207,0,0,0,0
2026-01-27 11:05:33,110533,0,0,0,0
2026-01-27 11:07:32,110732,0,0,0,0
2026-01-27 11:10:00,111000,0,0,0,0
2026-01-27 11:12:01,111201,0,0,0,0
2026-01-27 11:13:16,111316,0,0,0,0
2026-01-27 11:14:19,111419,0,0,0,0
2026-01-27 11:20:49,112049,0,1,0,1
2026-01-27 12:58:56,125856,0,0,0,0
2026-01-27 13:03:08,130308,0,0,0,0
2026-01-27 13:06:26,130626,0,0,0,0
2026-01-27 15:13:01,151301,2,2,1,2
